,year,avg_out_strength,avg_out_degree,avg_eigenvector,total_trade,network_centrality
0,1995,417773.26,0.87909606,0.10327488,2088866.3,0.90792518
1,1996,478574.27999999997,0.9604519799999999,0.10584796,2392871.4,0.9631357399999999
2,1997,521602.1,0.96045198,0.10327554000000001,2608010.5,0.96269612
3,1998,514396.4600000001,0.9627118400000001,0.10188139999999998,2571982.3000000003,0.9651123800000001
4,1999,541737.22,0.9706214400000001,0.10180518000000001,2708686.1,0.97187418
5,2000,681625.9200000002,0.9706214599999999,0.09987108,3408129.6000000006,0.9720347
6,2001,699228.28,0.9706215,0.09848192,3496141.4,0.97222238
7,2002,784466.6000000001,0.97966102,0.09829734,3922333.0000000005,0.9804666799999999
8,2003,985671.5200000001,0.98644068,0.09763891999999999,4928357.600000001,0.9869643399999999
9,2004,1308352.1400000001,0.98079096,0.09694316,6541760.7,0.9817336000000001
10,2005,1621497.3599999999,0.98644068,0.09581084,8107486.8,0.9870576200000001
11,2006,1978271.7799999998,0.9864407,0.09594714,9891358.899999999,0.98686952
12,2007,2394956.44,0.9853107399999999,0.09503902,11974782.2,0.9859465799999999
13,2008,2898566.68,0.9853107399999999,0.09467074,14492833.4,0.9860506599999999
14,2009,2330161.64,0.98757062,0.09673818000000001,11650808.200000001,0.9881812199999999
15,2010,3015865.7199999997,0.98757062,0.09548659999999999,15079328.6,0.9881812199999999
