,year,avg_out_strength,avg_out_degree,avg_eigenvector,total_trade,network_centrality
0,1995,177533.86727272725,0.6964560727272727,0.08889129090909091,1952872.5399999998,0.7818158636363637
1,1996,197901.68999999997,0.7652799181818182,0.09099128181818181,2176918.59,0.8218722636363637
2,1997,213247.17545454542,0.8058551727272728,0.09167875454545454,2345718.9299999997,0.8490013727272726
3,1998,213152.62727272726,0.8335901363636364,0.0926771,2344678.9,0.8667646999999999
4,1999,236050.10181818178,0.8253723636363636,0.09107932727272727,2596551.1199999996,0.8624400818181819
5,2000,294351.6818181818,0.8510528909090911,0.0910078090909091,3237868.5,0.8784857181818183
6,2001,275290.4709090909,0.8659476,0.09111388181818181,3028195.1799999997,0.8895617181818182
7,2002,289522.9109090909,0.868515681818182,0.09042225454545455,3184752.02,0.8916429272727271
8,2003,337262.3590909091,0.8952234181818182,0.09158435454545454,3709885.9500000007,0.9127771909090909
9,2004,410137.48454545456,0.8941962,0.09113361818181819,4511512.33,0.9134276272727273
10,2005,469664.1572727273,0.9255264545454545,0.09184307272727273,5166305.73,0.936571290909091
11,2006,564080.7136363636,0.9316897818181817,0.09229005454545454,6204887.85,0.9411233272727273
12,2007,625231.0027272727,0.9250128363636364,0.09126217272727272,6877541.029999999,0.9355374181818182
13,2008,733102.7936363636,0.9039548,0.08948139090909091,8064130.7299999995,0.919342590909091
14,2009,582572.990909091,0.8572162363636363,0.08793647272727273,6408302.9,0.8882563909090909
15,2010,773066.9181818181,0.9019003636363638,0.08991668181818183,8503736.1,0.9185948181818181
